"Bin Centre","Lap 17"
"-10.00","0.00%"
"-9.50","0.01%"
"-9.00","0.01%"
"-8.50","0.01%"
"-8.00","0.01%"
"-7.50","0.01%"
"-7.00","0.02%"
"-6.50","0.02%"
"-6.00","0.01%"
"-5.50","0.04%"
"-5.00","0.05%"
"-4.50","0.05%"
"-4.00","0.07%"
"-3.50","0.09%"
"-3.00","0.14%"
"-2.50","0.34%"
"-2.00","0.85%"
"-1.50","3.06%"
"-1.00","12.18%"
"-0.50","20.46%"
"0.00","26.13%"
"0.50","19.40%"
"1.00","11.82%"
"1.50","3.60%"
"2.00","0.87%"
"2.50","0.27%"
"3.00","0.11%"
"3.50","0.08%"
"4.00","0.05%"
"4.50","0.05%"
"5.00","0.04%"
"5.50","0.03%"
"6.00","0.03%"
"6.50","0.02%"
"7.00","0.02%"
"7.50","0.01%"
"8.00","0.01%"
"8.50","0.01%"
"9.00","0.01%"
"9.50","0.00%"
"10.00","0.01%"
